time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:7:42.2290,-0.424,-0.357,-0.338,2.71,-0.11,-5.77,-2.63,-1.18,-0.9
2021-11-10 11:7:42.2380,-0.484,-0.446,-0.326,3.4,0.54,-5.99,-3.18,-1.07,-1.0
2021-11-10 11:7:42.2480,-0.541,-0.414,-0.364,3.88,1.8,-6.35,-3.18,-1.07,-1.0
2021-11-10 11:7:42.2580,-0.585,-0.269,-0.405,4.44,2.36,-6.17,-3.58,-0.82,-1.07
2021-11-10 11:7:42.2670,-0.715,-0.191,-0.445,4.8,1.53,-5.83,-4.03,-0.43,-1.06
2021-11-10 11:7:42.2770,-0.816,-0.146,-0.485,5.7,0.8,-5.48,-4.36,-0.12,-0.91
2021-11-10 11:7:42.2870,-0.756,-0.055,-0.555,7.11,0.81,-5.15,-4.52,-0.02,-0.89
2021-11-10 11:7:42.2980,-0.798,0.006,-0.595,6.95,0.53,-4.65,-4.49,-0.41,-1.06
2021-11-10 11:7:42.3080,-0.954,0.004,-0.526,6.6,0.07,-3.93,-4.14,-1.15,-1.21
2021-11-10 11:7:42.3170,-1.103,0.046,-0.457,7.79,0.35,-4.29,-3.58,-1.98,-1.42
2021-11-10 11:7:42.3270,-1.312,0.108,-0.454,9.03,0.43,-5.02,-3.14,-2.56,-1.7
2021-11-10 11:7:42.3380,-1.556,0.193,-0.578,10.47,0.13,-5.31,-3.17,-2.57,-1.85
2021-11-10 11:7:42.3470,-1.625,0.314,-0.831,12.74,-0.26,-4.53,-3.83,-2.03,-1.91
2021-11-10 11:7:42.3570,-1.573,0.396,-1.079,14.02,-0.95,-2.37,-4.97,-1.14,-2.08
2021-11-10 11:7:42.3670,-1.612,0.406,-1.203,13.6,-1.55,0.46,-5.96,-0.19,-2.19
2021-11-10 11:7:42.3770,-1.624,0.435,-1.297,13.5,-1.29,2.2,-6.13,0.29,-2.1
2021-11-10 11:7:42.3870,-1.643,0.464,-1.417,13.96,-0.96,3.33,-5.58,-0.03,-2.17
2021-11-10 11:7:42.3970,-1.803,0.498,-1.516,13.61,-0.93,4.55,-4.66,-0.84,-2.45
2021-11-10 11:7:42.4070,-1.942,0.608,-1.689,14.63,-0.81,5.86,-3.84,-1.96,-3.88
2021-11-10 11:7:42.4170,-2.085,0.679,-1.917,16.79,-2.15,9.86,-4.09,-1.83,-4.39
2021-11-10 11:7:42.4280,-2.257,0.749,-1.984,16.79,-2.15,9.86,-4.09,-1.83,-4.39
2021-11-10 11:7:42.4360,-2.328,0.863,-2.069,18.18,-2.51,11.29,-4.49,-1.16,-4.66
2021-11-10 11:7:42.4470,-2.34,0.978,-2.196,19.05,-3.3,12.09,-4.9,-0.29,-4.8
2021-11-10 11:7:42.4570,-2.316,1.104,-2.283,19.05,-4.26,13.56,-5.0,0.6,-4.9
2021-11-10 11:7:42.4670,-2.207,1.279,-2.357,18.86,-5.24,14.75,-4.67,1.31,-5.09
2021-11-10 11:7:42.4770,-2.11,1.458,-2.4,17.9,-6.69,15.66,-3.92,1.51,-5.33
2021-11-10 11:7:42.4870,-1.971,1.613,-2.355,16.64,-8.48,16.38,-2.88,1.33,-5.59
2021-11-10 11:7:42.4960,-1.89,1.716,-2.262,15.26,-10.27,16.33,-1.82,1.02,-5.85
2021-11-10 11:7:42.5070,-1.877,1.816,-2.174,13.89,-11.58,15.51,-1.05,0.67,-6.02
2021-11-10 11:7:42.5170,-1.867,1.916,-2.086,13.32,-12.83,14.68,-0.71,0.62,-6.19
2021-11-10 11:7:42.5260,-1.86,2.057,-2.047,13.05,-14.03,13.74,-0.78,0.98,-6.32
2021-11-10 11:7:42.5380,-1.764,2.198,-2.005,12.81,-15.53,13.15,-0.98,1.61,-6.36
2021-11-10 11:7:42.5480,-1.606,2.243,-1.977,12.2,-17.33,12.73,-0.92,2.13,-6.27
2021-11-10 11:7:42.5570,-1.458,2.253,-1.907,10.68,-18.45,12.28,-0.44,2.43,-6.03
2021-11-10 11:7:42.5660,-1.372,2.265,-1.804,9.15,-18.87,11.69,0.36,2.52,-5.75
2021-11-10 11:7:42.5760,-1.317,2.28,-1.696,8.02,-19.42,10.53,1.21,2.46,-5.46
2021-11-10 11:7:42.5870,-1.228,2.313,-1.577,7.55,-19.93,9.37,1.92,2.42,-5.35
2021-11-10 11:7:42.5970,-1.18,2.332,-1.474,6.84,-20.69,7.99,2.44,2.28,-5.41
2021-11-10 11:7:42.6060,-1.157,2.334,-1.357,6.2,-21.47,6.81,2.77,2.06,-5.46
2021-11-10 11:7:42.6160,-1.097,2.285,-1.255,6.12,-22.07,5.56,2.98,1.82,-5.49
2021-11-10 11:7:42.6260,-1.011,2.172,-1.174,5.74,-22.39,4.37,3.14,1.57,-5.45
2021-11-10 11:7:42.6360,-0.896,2.05,-1.119,5.14,-22.01,3.43,3.25,1.41,-5.39
2021-11-10 11:7:42.6460,-0.815,1.969,-1.085,4.23,-21.34,2.73,3.32,1.39,-5.22
2021-11-10 11:7:42.6570,-0.749,1.794,-1.056,3.43,-20.88,2.33,3.49,1.57,-4.81
2021-11-10 11:7:42.6660,-0.782,1.689,-1.001,2.88,-20.26,1.97,3.49,1.57,-4.81
2021-11-10 11:7:42.6760,-0.813,1.709,-0.924,3.15,-19.0,1.62,3.43,1.77,-4.58
2021-11-10 11:7:42.6870,-0.833,1.646,-0.849,3.76,-19.54,0.87,3.19,2.24,-4.16
2021-11-10 11:7:42.6960,-0.77,1.504,-0.813,4.41,-19.71,0.11,3.0,2.54,-3.87
2021-11-10 11:7:42.7060,-0.693,1.376,-0.809,4.45,-18.91,-0.44,2.83,2.53,-3.71
2021-11-10 11:7:42.7160,-0.653,1.296,-0.76,3.93,-17.83,-0.48,2.72,2.38,-3.59
2021-11-10 11:7:42.7260,-0.588,1.198,-0.691,3.84,-17.28,-0.71,2.77,2.24,-3.56
2021-11-10 11:7:42.7370,-0.545,1.143,-0.648,3.62,-16.73,-1.32,2.91,2.05,-3.6
2021-11-10 11:7:42.7460,-0.534,1.149,-0.602,3.38,-16.25,-1.75,3.06,1.81,-3.64
2021-11-10 11:7:42.7560,-0.521,1.17,-0.539,3.52,-16.47,-2.0,3.15,1.72,-3.68
2021-11-10 11:7:42.7670,-0.476,1.172,-0.519,3.78,-16.96,-2.47,3.1,1.87,-3.7
2021-11-10 11:7:42.7760,-0.401,1.159,-0.518,3.85,-17.37,-2.71,2.86,2.3,-3.68
2021-11-10 11:7:42.7860,-0.308,1.142,-0.523,3.29,-17.54,-2.46,2.07,3.45,-3.45
2021-11-10 11:7:42.7960,-0.152,1.11,-0.542,3.29,-17.54,-2.46,2.07,3.45,-3.45
2021-11-10 11:7:42.8060,-0.022,1.122,-0.574,2.44,-17.39,-2.24,1.73,3.84,-3.3
2021-11-10 11:7:42.8170,0.063,1.167,-0.577,1.46,-17.38,-1.78,1.6,3.96,-3.1
2021-11-10 11:7:42.8260,0.134,1.183,-0.567,0.97,-17.87,-1.49,1.93,3.68,-2.48
2021-11-10 11:7:42.8350,0.205,1.145,-0.554,0.71,-18.26,-1.4,1.93,3.68,-2.48
2021-11-10 11:7:42.8460,0.26,1.066,-0.515,0.36,-18.21,-1.28,2.22,3.55,-2.03
2021-11-10 11:7:42.8560,0.305,0.991,-0.468,0.14,-17.65,-1.32,2.48,3.58,-1.55
2021-11-10 11:7:42.8660,0.328,0.94,-0.42,-0.04,-16.98,-1.5,2.66,3.7,-1.1
2021-11-10 11:7:42.8750,0.326,0.912,-0.349,-0.06,-16.55,-1.64,2.72,3.91,-0.67
2021-11-10 11:7:42.8860,0.323,0.899,-0.269,0.44,-16.31,-2.36,2.67,4.18,-0.27
2021-11-10 11:7:42.8960,0.326,0.877,-0.192,0.62,-16.27,-2.78,2.49,4.64,0.4
2021-11-10 11:7:42.9060,0.325,0.863,-0.128,0.62,-16.27,-2.78,2.49,4.64,0.4
2021-11-10 11:7:42.9160,0.328,0.843,-0.083,0.8,-16.22,-3.09,2.46,4.72,0.7
2021-11-10 11:7:42.9250,0.339,0.786,-0.052,0.92,-16.25,-3.23,2.52,4.62,0.99
2021-11-10 11:7:42.9360,0.343,0.73,-0.025,0.93,-15.96,-3.18,2.65,4.34,1.27
2021-11-10 11:7:42.9470,0.324,0.697,0.043,0.87,-15.5,-3.05,2.77,4.04,1.51
2021-11-10 11:7:42.9560,0.27,0.659,0.13,0.94,-15.28,-3.11,2.86,3.89,1.75
2021-11-10 11:7:42.9660,0.218,0.622,0.19,1.31,-15.1,-3.58,2.83,3.89,1.98
2021-11-10 11:7:42.9770,0.165,0.576,0.24,1.78,-14.89,-3.87,2.69,4.04,2.16
2021-11-10 11:7:42.9860,0.101,0.542,0.298,2.15,-14.61,-3.98,2.48,4.34,2.29
2021-11-10 11:7:42.9950,0.033,0.535,0.358,3.12,-14.28,-4.35,2.04,4.91,2.51
2021-11-10 11:7:43.0050,-0.024,0.54,0.422,3.56,-14.43,-4.61,1.89,4.96,2.68
2021-11-10 11:7:43.0140,-0.04,0.511,0.457,3.56,-14.43,-4.61,1.89,4.96,2.68
2021-11-10 11:7:43.0260,-0.005,0.465,0.417,3.67,-14.42,-4.8,1.56,4.31,2.94
2021-11-10 11:7:43.0350,0.026,0.408,0.375,2.53,-13.67,-3.55,1.65,3.84,3.05
2021-11-10 11:7:43.0460,-0.003,0.362,0.428,2.53,-13.67,-3.55,1.65,3.84,3.05
2021-11-10 11:7:43.0550,-0.08,0.317,0.518,2.27,-13.18,-3.49,1.86,3.5,3.25
2021-11-10 11:7:43.0650,-0.171,0.248,0.614,2.53,-12.89,-4.03,1.98,3.4,3.53
2021-11-10 11:7:43.0750,-0.266,0.218,0.699,3.03,-12.29,-4.77,1.86,3.48,3.84
2021-11-10 11:7:43.0860,-0.355,0.2,0.776,3.51,-11.87,-5.36,1.61,3.67,4.15
2021-11-10 11:7:43.0950,-0.439,0.215,0.807,3.97,-11.72,-6.07,1.3,3.82,4.48
2021-11-10 11:7:43.1040,-0.532,0.277,0.817,4.26,-11.66,-6.37,0.26,4.14,5.08
2021-11-10 11:7:43.1160,-0.633,0.168,0.815,4.63,-12.29,-6.51,0.26,4.14,5.08
2021-11-10 11:7:43.1260,-0.685,0.049,0.761,5.01,-11.85,-6.55,-0.45,4.35,5.26
2021-11-10 11:7:43.1350,-0.724,-0.076,0.646,5.24,-10.52,-6.45,-1.13,4.31,5.3
2021-11-10 11:7:43.1460,-0.821,-0.106,0.563,4.93,-9.23,-5.63,-1.41,3.89,5.24
2021-11-10 11:7:43.1560,-0.928,-0.087,0.54,5.21,-8.4,-4.86,-1.09,3.28,5.16
2021-11-10 11:7:43.1650,-1.056,-0.009,0.537,5.69,-8.36,-4.46,-0.55,2.67,5.13
2021-11-10 11:7:43.1750,-1.192,0.042,0.538,6.44,-8.74,-4.74,-0.21,2.13,5.16
2021-11-10 11:7:43.1850,-1.328,0.052,0.625,7.18,-9.25,-4.49,-0.21,1.99,5.24
2021-11-10 11:7:43.1960,-1.411,-0.019,0.634,8.18,-9.29,-5.41,-0.58,2.15,5.28
2021-11-10 11:7:43.2060,-1.481,-0.04,0.578,8.68,-8.63,-6.0,-1.19,2.3,5.2
2021-11-10 11:7:43.2150,-1.556,-0.013,0.505,8.94,-7.8,-5.88,-1.67,2.2,5.06
2021-11-10 11:7:43.2260,-1.627,-0.002,0.432,9.28,-7.77,-5.45,-1.81,1.88,4.95
2021-11-10 11:7:43.2360,-1.71,0.015,0.399,9.58,-7.61,-4.92,-1.66,1.53,4.92
2021-11-10 11:7:43.2450,-1.79,0.007,0.382,10.0,-7.44,-4.66,-1.45,1.26,4.91
2021-11-10 11:7:43.2560,-1.858,-0.085,0.396,10.46,-7.21,-4.6,-1.6,1.25,4.89
2021-11-10 11:7:43.2650,-1.914,-0.203,0.366,10.88,-6.26,-4.85,-1.6,1.25,4.89
2021-11-10 11:7:43.2750,-1.985,-0.234,0.331,11.12,-4.68,-5.0,-1.97,1.32,4.74
2021-11-10 11:7:43.2860,-2.05,-0.232,0.312,11.52,-3.65,-4.8,-2.24,1.33,4.53
2021-11-10 11:7:43.2950,-2.088,-0.178,0.268,11.96,-3.23,-4.83,-2.27,1.14,4.3
2021-11-10 11:7:43.3060,-2.098,-0.104,0.224,12.26,-3.15,-4.69,-2.15,0.67,4.04
2021-11-10 11:7:43.3150,-2.117,-0.077,0.214,12.23,-3.54,-4.33,-2.03,0.09,3.8
2021-11-10 11:7:43.3250,-2.13,-0.133,0.234,12.18,-3.71,-4.16,-1.95,-0.31,3.62
2021-11-10 11:7:43.3350,-2.105,-0.225,0.2,12.25,-3.09,-4.37,-2.06,-0.44,3.47
2021-11-10 11:7:43.3440,-2.118,-0.248,0.174,11.93,-1.88,-4.34,-2.38,-0.35,3.35
2021-11-10 11:7:43.3550,-2.124,-0.228,0.148,11.77,-0.96,-3.98,-2.78,-0.0,3.23
2021-11-10 11:7:43.3650,-2.11,-0.203,0.046,11.83,-0.78,-4.03,-3.23,0.34,3.14
2021-11-10 11:7:43.3750,-2.087,-0.155,-0.061,11.67,-0.57,-3.38,-3.65,0.52,3.04
2021-11-10 11:7:43.3850,-2.09,-0.194,-0.194,11.42,-0.7,-2.46,-3.93,0.41,2.91
2021-11-10 11:7:43.3940,-2.154,-0.226,-0.288,11.19,-0.28,-1.39,-3.98,0.03,2.7
2021-11-10 11:7:43.4050,-2.198,-0.306,-0.298,11.62,0.49,-0.2,-3.73,-0.22,2.38
2021-11-10 11:7:43.4150,-2.166,-0.482,-0.364,12.17,1.23,0.05,-3.35,-0.43,2.01
2021-11-10 11:7:43.4240,-2.144,-0.594,-0.458,12.09,2.97,0.42,-3.17,-0.73,1.62
2021-11-10 11:7:43.4350,-2.206,-0.553,-0.542,11.63,4.73,1.41,-3.36,-1.0,1.29
2021-11-10 11:7:43.4460,-2.286,-0.441,-0.648,11.93,5.08,2.29,-3.87,-1.03,1.02
2021-11-10 11:7:43.4550,-2.329,-0.34,-0.762,12.71,4.29,3.32,-4.44,-0.64,0.79
2021-11-10 11:7:43.4650,-2.288,-0.256,-0.932,13.3,3.42,4.4,-4.8,0.01,0.55
2021-11-10 11:7:43.4750,-2.131,-0.239,-1.174,13.29,2.66,5.74,-4.81,0.57,0.23
2021-11-10 11:7:43.4850,-1.927,-0.283,-1.4,12.17,2.34,7.83,-4.37,0.81,-0.14
2021-11-10 11:7:43.4940,-1.725,-0.331,-1.511,10.26,2.66,10.18,-3.53,0.73,-0.48
2021-11-10 11:7:43.5040,-1.559,-0.347,-1.545,8.26,3.21,11.69,-2.55,0.42,-0.72
2021-11-10 11:7:43.5140,-1.462,-0.307,-1.57,6.44,3.5,12.17,-1.85,-0.02,-0.88
2021-11-10 11:7:43.5250,-1.408,-0.242,-1.54,5.24,3.28,12.48,-1.54,-0.35,-0.99
2021-11-10 11:7:43.5350,-1.363,-0.204,-1.477,4.57,2.59,12.48,-1.5,-0.37,-1.08
2021-11-10 11:7:43.5440,-1.275,-0.174,-1.447,4.16,2.05,11.91,-1.54,-0.13,-1.2
2021-11-10 11:7:43.5540,-1.158,-0.143,-1.428,3.48,1.67,11.46,-1.47,0.12,-1.34
2021-11-10 11:7:43.5640,-1.03,-0.112,-1.359,2.4,1.29,11.29,-1.17,0.3,-1.47
2021-11-10 11:7:43.5740,-0.917,-0.084,-1.259,1.2,0.85,10.79,-0.66,0.4,-1.53
2021-11-10 11:7:43.5840,-0.827,-0.059,-1.141,0.02,0.43,9.82,-0.13,0.44,-1.51
2021-11-10 11:7:43.5940,-0.763,-0.04,-0.993,-0.93,0.04,8.73,0.27,0.49,-1.41
2021-11-10 11:7:43.6040,-0.708,-0.021,-0.842,-1.62,-0.3,7.32,0.5,0.56,-1.26
