time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:6:09.3160,-0.171,-0.931,-0.75,0.76,0.81,2.47,1.54,-2.1,-2.13
2021-11-10 11:6:09.3260,-0.218,-0.997,-0.686,0.65,0.4,2.77,1.49,-2.11,-2.28
2021-11-10 11:6:09.3360,-0.298,-1.027,-0.604,1.02,0.76,2.69,1.66,-2.19,-2.19
2021-11-10 11:6:09.3460,-0.267,-1.01,-0.588,1.92,1.23,1.92,1.96,-2.42,-2.13
2021-11-10 11:6:09.3560,-0.229,-0.975,-0.562,2.15,1.06,1.81,2.22,-2.61,-2.26
2021-11-10 11:6:09.3650,-0.241,-0.91,-0.566,1.73,0.65,1.84,2.33,-2.63,-2.54
2021-11-10 11:6:09.3760,-0.199,-0.965,-0.631,1.91,0.1,1.89,2.18,-2.51,-2.81
2021-11-10 11:6:09.3850,-0.197,-1.099,-0.672,1.89,-0.28,2.57,1.92,-2.28,-2.81
2021-11-10 11:6:09.3960,-0.165,-1.063,-0.655,1.86,1.18,3.27,1.64,-1.95,-2.6
2021-11-10 11:6:09.4060,-0.145,-0.896,-0.603,1.83,1.5,3.53,1.37,-1.54,-2.51
2021-11-10 11:6:09.4160,-0.062,-0.928,-0.567,1.93,-0.1,3.12,1.19,-1.15,-2.46
2021-11-10 11:6:09.4260,-0.094,-0.908,-0.533,1.5,-0.33,2.56,0.94,-0.53,-2.36
2021-11-10 11:6:09.4360,-0.056,-0.881,-0.529,1.5,-0.33,2.56,0.94,-0.53,-2.36
2021-11-10 11:6:09.4450,-0.007,-0.865,-0.556,1.7,-0.67,2.45,0.83,-0.39,-2.41
2021-11-10 11:6:09.4550,0.045,-0.847,-0.563,1.35,-0.86,2.74,0.76,-0.48,-2.5
2021-11-10 11:6:09.4660,0.067,-0.803,-0.521,1.12,-0.98,2.97,0.74,-0.72,-2.55
2021-11-10 11:6:09.4750,0.078,-0.763,-0.451,0.93,-1.3,2.84,0.8,-1.01,-2.57
2021-11-10 11:6:09.4850,0.129,-0.743,-0.42,1.1,-1.74,2.22,0.9,-1.32,-2.56
2021-11-10 11:6:09.4960,0.146,-0.648,-0.397,0.93,-1.92,1.79,1.04,-1.8,-2.58
2021-11-10 11:6:09.5050,0.125,-0.58,-0.301,0.66,-2.45,1.74,1.26,-2.46,-2.5
2021-11-10 11:6:09.5160,0.205,-0.632,-0.335,1.15,-3.57,1.0,1.31,-2.49,-2.52
2021-11-10 11:6:09.5250,0.139,-0.54,-0.325,0.82,-3.16,0.9,1.21,-2.08,-2.51
2021-11-10 11:6:09.5350,-0.011,-0.388,-0.26,0.72,-3.32,1.16,0.97,-1.92,-2.1
2021-11-10 11:6:09.5450,0.208,-0.479,-0.303,2.8,-5.06,0.68,0.64,-1.52,-1.93
2021-11-10 11:6:09.5550,0.275,-0.425,-0.302,1.9,-4.81,0.53,0.27,-1.26,-1.99
2021-11-10 11:6:09.5650,0.125,-0.301,-0.245,0.23,-4.41,1.01,-0.13,-0.97,-1.9
2021-11-10 11:6:09.5760,0.15,-0.238,-0.226,1.56,-5.68,0.31,-0.44,-0.78,-1.79
2021-11-10 11:6:09.5860,0.217,-0.16,-0.277,2.24,-6.34,0.02,-0.67,-0.8,-1.75
2021-11-10 11:6:09.5950,0.227,-0.107,-0.369,1.57,-6.97,-0.08,-0.88,-1.18,-1.79
2021-11-10 11:6:09.6050,0.226,-0.106,-0.295,1.45,-7.56,0.98,-0.34,-1.59,-1.85
2021-11-10 11:6:09.6150,0.221,-0.091,-0.255,1.57,-7.66,0.58,-0.34,-1.59,-1.85
2021-11-10 11:6:09.6250,0.231,-0.038,-0.257,1.71,-7.57,-0.09,0.15,-1.66,-1.82
2021-11-10 11:6:09.6360,0.255,0.002,-0.323,1.82,-7.97,-0.32,0.45,-1.76,-1.74
2021-11-10 11:6:09.6450,0.239,0.032,-0.354,1.67,-8.36,0.19,0.53,-1.53,-1.55
2021-11-10 11:6:09.6550,0.246,0.07,-0.346,1.72,-8.64,0.62,0.45,-1.29,-1.31
2021-11-10 11:6:09.6650,0.293,0.104,-0.341,1.95,-8.93,0.7,0.28,-0.85,-1.12
2021-11-10 11:6:09.6760,0.358,0.216,-0.399,1.64,-9.25,0.48,-0.08,-0.34,-0.9
2021-11-10 11:6:09.6850,0.419,0.311,-0.489,1.1,-9.89,0.78,-0.64,0.01,-0.72
2021-11-10 11:6:09.6950,0.522,0.323,-0.45,0.56,-11.11,1.65,-1.18,0.23,-0.54
2021-11-10 11:6:09.7060,0.631,0.376,-0.462,-0.22,-11.31,1.61,-1.62,0.37,-0.39
2021-11-10 11:6:09.7150,0.718,0.424,-0.497,-1.31,-11.57,1.22,-1.94,0.5,-0.18
2021-11-10 11:6:09.7250,0.79,0.453,-0.467,-2.19,-12.13,1.5,-1.96,0.64,0.18
2021-11-10 11:6:09.7340,0.892,0.501,-0.444,-3.01,-12.29,1.43,-1.78,0.73,0.58
2021-11-10 11:6:09.7450,0.95,0.554,-0.476,-3.84,-12.76,0.74,-1.52,0.6,0.94
2021-11-10 11:6:09.7540,0.962,0.6,-0.463,-4.84,-13.24,1.09,-1.31,0.45,1.3
2021-11-10 11:6:09.7650,0.993,0.637,-0.514,-5.05,-13.75,0.82,-1.23,0.37,1.61
2021-11-10 11:6:09.7740,0.996,0.657,-0.508,-5.51,-14.19,1.11,-1.19,0.48,1.93
2021-11-10 11:6:09.7850,1.011,0.675,-0.479,-5.75,-14.5,1.28,-1.11,0.73,2.27
2021-11-10 11:6:09.7940,1.016,0.712,-0.473,-6.02,-14.7,0.9,-0.96,0.88,2.64
2021-11-10 11:6:09.8060,0.996,0.764,-0.448,-6.33,-15.07,0.77,-0.76,0.88,3.01
2021-11-10 11:6:09.8160,0.935,0.833,-0.408,-6.48,-15.61,0.58,-0.54,0.75,3.4
2021-11-10 11:6:09.8250,0.852,0.903,-0.374,-6.31,-16.34,0.2,-0.36,0.58,3.84
2021-11-10 11:6:09.8350,0.704,0.997,-0.338,-5.91,-17.13,-0.16,-0.24,0.38,4.35
2021-11-10 11:6:09.8450,0.521,1.065,-0.281,-5.22,-18.03,-0.44,0.05,-0.06,5.07
2021-11-10 11:6:09.8550,0.478,1.118,-0.378,-3.73,-19.16,-1.2,-0.03,0.07,5.61
2021-11-10 11:6:09.8650,0.279,1.177,-0.395,-3.45,-19.47,-0.64,-0.26,0.07,6.1
2021-11-10 11:6:09.8750,0.104,1.153,-0.313,-2.82,-20.45,-0.01,-0.88,0.99,6.98
2021-11-10 11:6:09.8850,-0.006,1.184,-0.295,-1.25,-20.28,-0.72,-0.88,0.99,6.98
2021-11-10 11:6:09.8940,-0.1,1.221,-0.294,-0.67,-20.35,-1.3,-1.24,1.38,7.41
2021-11-10 11:6:09.9040,-0.217,1.26,-0.231,-0.31,-20.6,-1.35,-1.52,1.52,7.86
2021-11-10 11:6:09.9150,-0.367,1.286,-0.144,0.06,-20.83,-1.92,-1.66,1.46,8.34
2021-11-10 11:6:09.9240,-0.57,1.332,-0.065,0.74,-20.87,-2.9,-1.71,1.25,8.81
2021-11-10 11:6:09.9340,-0.786,1.401,-0.007,1.83,-20.9,-3.88,-1.78,0.92,9.23
2021-11-10 11:6:09.9440,-0.985,1.462,-0.041,3.28,-21.11,-4.76,-1.96,0.5,9.55
2021-11-10 11:6:09.9550,-1.173,1.508,-0.124,4.58,-21.28,-4.99,-2.34,0.08,9.71
2021-11-10 11:6:09.9650,-1.344,1.535,-0.166,5.82,-21.17,-4.38,-2.78,-0.2,9.66
2021-11-10 11:6:09.9740,-1.561,1.538,-0.218,6.9,-20.88,-3.98,-3.13,-0.37,9.54
2021-11-10 11:6:09.9850,-1.823,1.583,-0.232,8.26,-20.19,-3.71,-3.26,-0.58,9.45
2021-11-10 11:6:09.9940,-2.145,1.674,-0.195,10.18,-19.65,-3.42,-3.06,-0.87,9.41
